Province_State,Country_Region,Lat,Long,Date,Confirmed Cases
Sergipe,Brazil,-10.917,-37.05,03/23/20,0
Sao Paulo,Brazil,-23.55,-46.633,03/23/20,114
Tocantins,Brazil,-10.184,-48.334,03/23/20,2
Brazil,Brazil,-14.2,-51.9,03/23/20,358
Acre,Brazil,-9.975,-67.81,03/24/20,4
Alagoas,Brazil,-9.666,-35.735,03/24/20,2
Amazonas,Brazil,-3.1,-60.017,03/24/20,15
Amapa,Brazil,0.034,-51.066,03/24/20,0
Bahia,Brazil,-12.975,-38.477,03/24/20,16
Ceara,Brazil,-3.728,-38.528,03/24/20,21
Distrito Federal,Brazil,-15.794,-47.883,03/24/20,23
Espirito Santo,Brazil,-20.289,-40.308,03/24/20,7
Goias,Brazil,-16.667,-49.25,03/24/20,6
Maranhao,Brazil,-2.528,-44.304,03/24/20,0
Minas Gerais,Brazil,-19.917,-43.933,03/24/20,2
Mato Grosso do Sul,Brazil,-20.484,-54.615,03/24/20,3
Mato Grosso,Brazil,-15.596,-56.096,03/24/20,1
Para,Brazil,-1.456,-48.504,03/24/20,0
Paraiba,Brazil,-7.083,-34.833,03/24/20,1
Pernambuco,Brazil,-8.05,-34.9,03/24/20,0
Piaui,Brazil,-5.095,-42.8042,03/24/20,2
Parana,Brazil,-25.417,-49.25,03/24/20,10
Rio de Janeiro,Brazil,-22.911,-43.206,03/24/20,72
Rio Grande do Norte,Brazil,-5.783,-35.2,03/24/20,1
Rondonia,Brazil,-8.762,-63.904,03/24/20,2
Roraima,Brazil,2.819,-60.671,03/24/20,6
Rio Grande do Sul,Brazil,-30.033,-51.23,03/24/20,16
Santa Catarina,Brazil,-27.612,-48.485,03/24/20,23
Sergipe,Brazil,-10.917,-37.05,03/24/20,5
Sao Paulo,Brazil,-23.55,-46.633,03/24/20,65
Tocantins,Brazil,-10.184,-48.334,03/24/20,0
Brazil,Brazil,-14.2,-51.9,03/24/20,303
Acre,Brazil,-9.975,-67.81,03/25/20,2
Alagoas,Brazil,-9.666,-35.735,03/25/20,1
Amazonas,Brazil,-3.1,-60.017,03/25/20,7
Amapa,Brazil,0.034,-51.066,03/25/20,1
Bahia,Brazil,-12.975,-38.477,03/25/20,12
Ceara,Brazil,-3.728,-38.528,03/25/20,26
Distrito Federal,Brazil,-15.794,-47.883,03/25/20,34
Espirito Santo,Brazil,-20.289,-40.308,03/25/20,0
Goias,Brazil,-16.667,-49.25,03/25/20,6
Maranhao,Brazil,-2.528,-44.304,03/25/20,0
Minas Gerais,Brazil,-19.917,-43.933,03/25/20,3
Mato Grosso do Sul,Brazil,-20.484,-54.615,03/25/20,0
Mato Grosso,Brazil,-15.596,-56.096,03/25/20,2
Para,Brazil,-1.456,-48.504,03/25/20,2
Paraiba,Brazil,-7.083,-34.833,03/25/20,2
Pernambuco,Brazil,-8.05,-34.9,03/25/20,4
Piaui,Brazil,-5.095,-42.8042,03/25/20,1
Parana,Brazil,-25.417,-49.25,03/25/20,27
Rio de Janeiro,Brazil,-22.911,-43.206,03/25/20,65
Rio Grande do Norte,Brazil,-5.783,-35.2,03/25/20,0
Rondonia,Brazil,-8.762,-63.904,03/25/20,0
Roraima,Brazil,2.819,-60.671,03/25/20,0
Rio Grande do Sul,Brazil,-30.033,-51.23,03/25/20,50
Santa Catarina,Brazil,-27.612,-48.485,03/25/20,13
Sergipe,Brazil,-10.917,-37.05,03/25/20,1
Sao Paulo,Brazil,-23.55,-46.633,03/25/20,52
Tocantins,Brazil,-10.184,-48.334,03/25/20,0
Brazil,Brazil,-14.2,-51.9,03/25/20,311
Acre,Brazil,-9.975,-67.81,03/26/20,1
Alagoas,Brazil,-9.666,-35.735,03/26/20,0
Amazonas,Brazil,-3.1,-60.017,03/26/20,13
Amapa,Brazil,0.034,-51.066,03/26/20,0
Bahia,Brazil,-12.975,-38.477,03/26/20,17
Ceara,Brazil,-3.728,-38.528,03/26/20,26
Distrito Federal,Brazil,-15.794,-47.883,03/26/20,6
Espirito Santo,Brazil,-20.289,-40.308,03/26/20,8
Goias,Brazil,-16.667,-49.25,03/26/20,4
Maranhao,Brazil,-2.528,-44.304,03/26/20,2
Minas Gerais,Brazil,-19.917,-43.933,03/26/20,20
Mato Grosso do Sul,Brazil,-20.484,-54.615,03/26/20,1
Mato Grosso,Brazil,-15.596,-56.096,03/26/20,2
Para,Brazil,-1.456,-48.504,03/26/20,6
Paraiba,Brazil,-7.083,-34.833,03/26/20,1
Pernambuco,Brazil,-8.05,-34.9,03/26/20,2
Piaui,Brazil,-5.095,-42.8042,03/26/20,0
Parana,Brazil,-25.417,-49.25,03/26/20,9
Rio de Janeiro,Brazil,-22.911,-43.206,03/26/20,51
Rio Grande do Norte,Brazil,-5.783,-35.2,03/26/20,5
Rondonia,Brazil,-8.762,-63.904,03/26/20,1
Roraima,Brazil,2.819,-60.671,03/26/20,2
Rio Grande do Sul,Brazil,-30.033,-51.23,03/26/20,28
Santa Catarina,Brazil,-27.612,-48.485,03/26/20,27
Sergipe,Brazil,-10.917,-37.05,03/26/20,0
Sao Paulo,Brazil,-23.55,-46.633,03/26/20,191
Tocantins,Brazil,-10.184,-48.334,03/26/20,1
Brazil,Brazil,-14.2,-51.9,03/26/20,424
Acre,Brazil,-9.975,-67.81,03/27/20,1
Alagoas,Brazil,-9.666,-35.735,03/27/20,1
Amazonas,Brazil,-3.1,-60.017,03/27/20,14
Amapa,Brazil,0.034,-51.066,03/27/20,1
Bahia,Brazil,-12.975,-38.477,03/27/20,15
Ceara,Brazil,-3.728,-38.528,03/27/20,45
Distrito Federal,Brazil,-15.794,-47.883,03/27/20,40
