Province_State,Country_Region,Lat,Long,Date,Confirmed Cases
Sao Paulo,Brazil,-23.55,-46.633,2020-03-24,65
Tocantins,Brazil,-10.184,-48.334,2020-03-24,0
Brazil,Brazil,-14.2,-51.9,2020-03-24,303
Acre,Brazil,-9.975,-67.81,2020-03-25,2
Alagoas,Brazil,-9.666,-35.735,2020-03-25,1
Amazonas,Brazil,-3.1,-60.017,2020-03-25,7
Amapa,Brazil,0.034,-51.066,2020-03-25,1
Bahia,Brazil,-12.975,-38.477,2020-03-25,12
Ceara,Brazil,-3.728,-38.528,2020-03-25,26
Distrito Federal,Brazil,-15.794,-47.883,2020-03-25,34
Espirito Santo,Brazil,-20.289,-40.308,2020-03-25,0
Goias,Brazil,-16.667,-49.25,2020-03-25,6
Maranhao,Brazil,-2.528,-44.304,2020-03-25,0
Minas Gerais,Brazil,-19.917,-43.933,2020-03-25,3
Mato Grosso do Sul,Brazil,-20.484,-54.615,2020-03-25,0
Mato Grosso,Brazil,-15.596,-56.096,2020-03-25,2
Para,Brazil,-1.456,-48.504,2020-03-25,2
Paraiba,Brazil,-7.083,-34.833,2020-03-25,2
Pernambuco,Brazil,-8.05,-34.9,2020-03-25,4
Piaui,Brazil,-5.095,-42.8042,2020-03-25,1
Parana,Brazil,-25.417,-49.25,2020-03-25,27
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-25,65
Rio Grande do Norte,Brazil,-5.783,-35.2,2020-03-25,0
Rondonia,Brazil,-8.762,-63.904,2020-03-25,0
Roraima,Brazil,2.819,-60.671,2020-03-25,0
Rio Grande do Sul,Brazil,-30.033,-51.23,2020-03-25,50
Santa Catarina,Brazil,-27.612,-48.485,2020-03-25,13
Sergipe,Brazil,-10.917,-37.05,2020-03-25,1
Sao Paulo,Brazil,-23.55,-46.633,2020-03-25,52
Tocantins,Brazil,-10.184,-48.334,2020-03-25,0
Brazil,Brazil,-14.2,-51.9,2020-03-25,311
Acre,Brazil,-9.975,-67.81,2020-03-26,1
Alagoas,Brazil,-9.666,-35.735,2020-03-26,0
Amazonas,Brazil,-3.1,-60.017,2020-03-26,13
Amapa,Brazil,0.034,-51.066,2020-03-26,0
Bahia,Brazil,-12.975,-38.477,2020-03-26,17
Ceara,Brazil,-3.728,-38.528,2020-03-26,26
Distrito Federal,Brazil,-15.794,-47.883,2020-03-26,6
Espirito Santo,Brazil,-20.289,-40.308,2020-03-26,8
Goias,Brazil,-16.667,-49.25,2020-03-26,4
Maranhao,Brazil,-2.528,-44.304,2020-03-26,2
Minas Gerais,Brazil,-19.917,-43.933,2020-03-26,20
Mato Grosso do Sul,Brazil,-20.484,-54.615,2020-03-26,1
Mato Grosso,Brazil,-15.596,-56.096,2020-03-26,2
Para,Brazil,-1.456,-48.504,2020-03-26,6
Paraiba,Brazil,-7.083,-34.833,2020-03-26,1
Pernambuco,Brazil,-8.05,-34.9,2020-03-26,2
Piaui,Brazil,-5.095,-42.8042,2020-03-26,0
Parana,Brazil,-25.417,-49.25,2020-03-26,9
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-26,51
Rio Grande do Norte,Brazil,-5.783,-35.2,2020-03-26,5
Rondonia,Brazil,-8.762,-63.904,2020-03-26,1
Roraima,Brazil,2.819,-60.671,2020-03-26,2
Rio Grande do Sul,Brazil,-30.033,-51.23,2020-03-26,28
Santa Catarina,Brazil,-27.612,-48.485,2020-03-26,27
Sergipe,Brazil,-10.917,-37.05,2020-03-26,0
Sao Paulo,Brazil,-23.55,-46.633,2020-03-26,191
Tocantins,Brazil,-10.184,-48.334,2020-03-26,1
Brazil,Brazil,-14.2,-51.9,2020-03-26,424
Acre,Brazil,-9.975,-67.81,2020-03-27,1
Alagoas,Brazil,-9.666,-35.735,2020-03-27,1
Amazonas,Brazil,-3.1,-60.017,2020-03-27,14
Amapa,Brazil,0.034,-51.066,2020-03-27,1
Bahia,Brazil,-12.975,-38.477,2020-03-27,15
Ceara,Brazil,-3.728,-38.528,2020-03-27,45
Distrito Federal,Brazil,-15.794,-47.883,2020-03-27,40
Espirito Santo,Brazil,-20.289,-40.308,2020-03-27,6
Goias,Brazil,-16.667,-49.25,2020-03-27,10
Maranhao,Brazil,-2.528,-44.304,2020-03-27,3
